DATE,ret_m
20130820,0.005674
20130821,-0.006161
20130822,0.009122
20130823,0.004365
20130826,-0.002843
20130827,-0.016305
20130828,0.002621
20130829,0.003213
20130830,-0.004824
20130903,0.004523
20130904,0.007605
20130905,0.001822
20130906,0.001049
20130909,0.010849
20130910,0.007208
20130911,0.002748
20130912,-0.004005
20130913,0.002666
20130916,0.005144
20130917,0.004983
20130918,0.012547
20130919,-0.001142
20130920,-0.007308
20130923,-0.004157
20130924,-0.001218
20130925,-0.001672
20130926,0.003961
20130927,-0.003603
20130930,-0.004868
20131001,0.008714
20131002,-0.000694
20131003,-0.008623
20131004,0.006732
20131007,-0.008477
20131008,-0.013083
20131009,-0.000457
20131010,0.020987
20131011,0.006890
20131014,0.004084
20131015,-0.006833
20131016,0.012782
20131017,0.007756
20131018,0.006937
20131021,0.000152
20131022,0.005533
20131023,-0.005300
20131024,0.004040
20131025,0.003136
20131028,0.000363
20131029,0.004434
20131030,-0.005655
20131031,-0.003530
20131101,0.001407
20131104,0.004335
20131105,-0.003003
20131106,0.003025
20131107,-0.013887
20131108,0.012340
20131111,0.000989
20131112,-0.002247
20131113,0.008523
20131114,0.004564
20131115,0.004419
20131118,-0.004643
20131119,-0.003362
20131120,-0.003302
20131121,0.008674
20131122,0.004573
20131125,-0.001431
20131126,0.001066
20131127,0.002741
20131129,0.000166
20131202,-0.003649
20131203,-0.003716
20131204,-0.000952
20131205,-0.003516
20131206,0.009677
20131209,0.001864
20131210,-0.002815
20131211,-0.012064
20131212,-0.002551
20131213,0.001277
20131216,0.006436
20131217,-0.002335
20131218,0.014491
20131219,-0.001018
20131220,0.006904
20131223,0.006236
20131224,0.003465
20131226,0.004002
20131227,-0.000066
20131230,0.000274
20131231,0.004260
20140102,-0.008762
20140103,0.000490
20140106,-0.003358
20140107,0.006080
20140108,0.000165
20140109,0.000119
20140110,0.003581
20140113,-0.011633
20140114,0.010257
20140115,0.005068
20140116,-0.000259
20140117,-0.003463
20140121,0.003358
20140122,0.001468
20140123,-0.008156
20140124,-0.021124
20140127,-0.006651
20140128,0.007290
20140129,-0.009934
20140130,0.011505
20140131,-0.005797
20140203,-0.023186
20140204,0.007615
20140205,-0.001941
20140206,0.011908
20140207,0.012612
20140210,0.001556
20140211,0.010612
20140212,0.001163
20140213,0.006958
20140214,0.004119
20140218,0.003181
20140219,-0.006849
20140220,0.006448
20140221,-0.000816
20140224,0.006181
20140225,-0.001269
20140226,0.001039
20140227,0.004880
20140228,0.001667
20140303,-0.006629
20140304,0.015437
20140305,0.000360
20140306,0.001722
20140307,-0.000796
20140310,-0.001255
20140311,-0.005528
20140312,0.001295
20140313,-0.011133
20140314,-0.001380
20140317,0.008280
20140318,0.007666
20140319,-0.006796
20140320,0.004696
20140321,-0.002868
20140324,-0.006073
20140325,0.003435
20140326,-0.008163
20140327,-0.001070
20140328,0.004473
20140331,0.009187
20140401,0.008261
20140402,0.002831
20140403,-0.003096
20140404,-0.012586
20140407,-0.011643
20140408,0.005382
20140409,0.011303
20140410,-0.020787
20140411,-0.009782
20140414,0.006512
20140415,0.005176
20140416,0.010641
20140417,0.002274
20140421,0.003489
20140422,0.005569
20140423,-0.002779
20140424,0.000722
20140425,-0.009470
20140428,0.001089
20140429,0.005631
20140430,0.003405
20140501,0.000754
20140502,-0.000265
20140505,0.001307
20140506,-0.008728
20140507,0.004400
20140508,-0.002682
20140509,0.001575
20140512,0.011169
20140513,-0.000663
20140514,-0.004726
20140515,-0.008365
20140516,0.003411
20140519,0.004292
20140520,-0.006939
20140521,0.007414
20140522,0.003482
20140523,0.004764
20140527,0.005890
20140528,-0.001315
20140529,0.004898
20140530,0.000651
20140602,0.000709
20140603,-0.000374
20140604,0.002552
20140605,0.007268
20140606,0.005112
20140609,0.001870
20140610,-0.000363
20140611,-0.003075
20140612,-0.005689
20140613,0.003065
20140616,0.001411
20140617,0.002945
20140618,0.006977
20140619,0.001688
20140620,0.002069
20140623,0.000132
20140624,-0.006983
20140625,0.005118
20140626,-0.000555
20140627,0.002882
20140630,0.001029
20140701,0.006796
20140702,-0.000307
20140703,0.004964
20140707,-0.006103
20140708,-0.007343
20140709,0.004475
20140710,-0.004851
20140711,0.000773
20140714,0.004560
20140715,-0.003292
20140716,0.003760
20140717,-0.010966
20140718,0.010256
20140721,-0.002169
20140722,0.005100
20140723,0.001854
20140724,0.000244
20140725,-0.005032
20140728,-0.000500
20140729,-0.003662
20140730,0.000530
20140731,-0.019363
20140801,-0.003456
20140804,0.007134
20140805,-0.008876
20140806,0.000305
20140807,-0.004902
20140808,0.010300
20140811,0.004765
20140812,-0.002198
20140813,0.006621
20140814,0.004204
20140815,0.000295
20140818,0.008518
20140819,0.004711
20140820,0.001977
20140821,0.002467
20140822,-0.001441
20140825,0.004552
20140826,0.002176
20140827,0.000631
20140828,-0.001825
20140829,0.003797
20140902,0.000042
20140903,-0.000578
20140904,-0.002384
20140905,0.004378
20140908,-0.002769
20140909,-0.006316
20140910,0.003341
20140911,0.001293
20140912,-0.006582
20140915,-0.002881
20140916,0.007028
20140917,0.000801
20140918,0.004527
20140919,-0.002361
20140922,-0.010084
20140923,-0.005992
20140924,0.007107
20140925,-0.015558
20140926,0.008413
20140929,-0.002416
20140930,-0.004085
20141001,-0.012925
20141002,0.000768
20141003,0.009108
20141006,-0.001587
20141007,-0.015000
20141008,0.015890
20141009,-0.021215
20141010,-0.013339
20141013,-0.015517
20141014,0.002341
20141015,-0.004503
20141016,0.003839
20141017,0.010816
20141020,0.009259
20141021,0.019239
20141022,-0.008878
20141023,0.012262
20141024,0.006017
20141027,-0.002165
20141028,0.013738
20141029,-0.002238
20141030,0.004968
20141031,0.011532
20141103,-0.000679
20141104,-0.004625
20141105,0.004886
20141106,0.003810
20141107,0.001989
20141110,0.002733
20141111,0.001134
20141112,0.000555
20141113,-0.000933
20141114,0.001342
20141117,-0.000218
20141118,0.005514
20141119,-0.002368
20141120,0.003292
20141121,0.005321
20141124,0.003183
20141125,-0.000406
20141126,0.002803
20141128,-0.006087
20141201,-0.008989
20141202,0.005882
20141203,0.005230
20141204,-0.002141
20141205,0.001455
20141208,-0.009474
20141209,0.001712
20141210,-0.017438
20141211,0.004089
20141212,-0.015237
20141215,-0.007682
20141216,-0.005851
20141217,0.021799
20141218,0.021551
20141219,0.004600
